Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Odnajdowanie sieci (ruch wychodz¹cy zdarzeñ WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	5357	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy zdarzeñ WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	5357	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy zdarzeñ WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	5357	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci Wi-Fi Direct (ruch wychodz¹cy)	Odnajdowanie sieci Wi-Fi Direct	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\dashost.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	S-1-5-92-3339056971-1291069075-3798698925-2882100687-0	Dowolne	Brak	Dowolne	
U¿ycie buforu sieci Wi-Fi Direct (ruch wychodz¹cy)	Odnajdowanie sieci Wi-Fi Direct	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\spoolsv.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
U¿ycie us³ugi skanowania sieci Wi-Fi Direct (ruch wychodz¹cy)	Odnajdowanie sieci Wi-Fi Direct	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Office	Office	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.microsoftofficehub_8wekyb3d8bbwe	
OneNote	OneNote	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.office.onenote_8wekyb3d8bbwe	
Paint 3D	Paint 3D	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.mspaint_8wekyb3d8bbwe	
Platforma pod³¹czonych urz¹dzeñ — transport Wi-Fi Direct (ruch wychodz¹cy TCP)	Platforma pod³¹czonych urz¹dzeñ	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Platforma pod³¹czonych urz¹dzeñ (ruch wychodz¹cy TCP)	Platforma pod³¹czonych urz¹dzeñ	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Platforma pod³¹czonych urz¹dzeñ (ruch wychodz¹cy UDP)	Platforma pod³¹czonych urz¹dzeñ	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Poczta e-mail i konta	Poczta e-mail i konta	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.accountscontrol_cw5n1h2txyewy	
Poczta i Kalendarz	Poczta i Kalendarz	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windowscommunicationsapps_8wekyb3d8bbwe	
Podstawowe operacje sieciowe — anons odnajdowania s¹siadów (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — anons routera (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	fe80::/64	Podsieæ lokalna, ff02::1, fe80::/64	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — DNS (ruch wychodz¹cy UDP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	53	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — problem z parametrem (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — protokó³ DHCP (ruch wychodz¹cy DHCP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	68	67	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Protokó³ DHCP dla protoko³u IPv6 (ruch wychodz¹cy DHCPV6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	546	547	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — protokó³ IGMP (ruch wychodz¹cy IGMP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	IGMP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Protokó³ IPHTTPS (ruch wychodz¹cy TCP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	IPHTTPS	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — protokó³ IPv6 (ruch wychodz¹cy IPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	IPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — przekroczony limit czasu (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — raport odbiornika multiemisji (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — raport odbiornika multiemisji w wersji 2 (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Teredo (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Teredo (ruch wychodz¹cy UDP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zakoñczenie dzia³ania odbiornika multiemisji (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zapytanie odbiornika multiemisji (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zasady grupy (ruch wychodz¹cy LSASS)	Podstawowe operacje sieciowe	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\lsass.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zasady grupy (ruch wychodz¹cy NP)	Podstawowe operacje sieciowe	Domena	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	445	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zasady grupy (ruch wychodz¹cy TCP)	Podstawowe operacje sieciowe	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zbyt du¿y pakiet (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — ¿¹danie odnajdowania s¹siadów (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — ¿¹danie routera (ruch wychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna, ff02::2, fe80::/64	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy PNRP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy PNRP)	Pomoc zdalna	Publiczny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy SSDP TCP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy SSDP UDP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy TCP serwera Pomocy zdalnej)	Pomoc zdalna	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\raserver.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy TCP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\msra.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch wychodz¹cy TCP)	Pomoc zdalna	Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\msra.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Przegl¹darka 3D	Przegl¹darka 3D	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.microsoft3dviewer_8wekyb3d8bbwe	
Przegl¹darka sieci Web aplikacji klasycznych	Przegl¹darka sieci Web aplikacji klasycznych	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.win32webviewhost_cw5n1h2txyewy	
Przep³yw portalu uwierzytelniania	Przep³yw portalu uwierzytelniania	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.oobenetworkcaptiveportal_cw5n1h2txyewy	
Router AllJoyn (TCP-Out)	Router AllJoyn	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Router AllJoyn (UDP-Out)	Router AllJoyn	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Routing i dostêp zdalny (ruch wychodz¹cy GRE)	Routing i dostêp zdalny	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	GRE	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Routing i dostêp zdalny (ruch wychodz¹cy L2TP)	Routing i dostêp zdalny	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	1701	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Routing i dostêp zdalny (ruch wychodz¹cy PPTP)	Routing i dostêp zdalny	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	1723	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Start	Start	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.startmenuexperiencehost_cw5n1h2txyewy	
Œrodowisko pow³oki systemu Windows	Œrodowisko pow³oki systemu Windows	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.shellexperiencehost_cw5n1h2txyewy	
Œrodowisko pow³oki systemu Windows	Œrodowisko pow³oki systemu Windows	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.peopleexperiencehost_cw5n1h2txyewy	
To¿samoœæ w chmurze (ruch wychodz¹cy TCP)	To¿samoœæ w chmurze	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	443	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Twoje konto	Twoje konto	Wszystko	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.cloudexperiencehost_cw5n1h2txyewy	
Udostêpnianie plików i drukarek (datagram NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	138	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (datagram NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	138	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (datagram NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	138	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (nazwa NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	137	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (nazwa NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	137	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (nazwa NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	137	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (ruch wychodz¹cy LLMNR-UDP)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5355	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (ruch wychodz¹cy LLMNR-UDP)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5355	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (ruch wychodz¹cy LLMNR-UDP)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5355	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (sesja NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	139	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (sesja NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	139	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (sesja NB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	139	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (SMB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	445	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (SMB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	Dowolne	445	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (SMB — ruch wychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	445	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch wychodz¹cy ICMPv4)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch wychodz¹cy ICMPv4)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch wychodz¹cy ICMPv4)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch wychodz¹cy ICMPv6)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch wychodz¹cy ICMPv6)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (¿¹danie echa — ruch wychodz¹cy ICMPv6)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie zbli¿eniowe przez protokó³ TCP (udostêpnianie przez protokó³ TCP — ruch wychodz¹cy)	Udostêpnianie zbli¿eniowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\proximityuxhost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — obs³uga administracyjna urz¹dzeñ (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\ehome\mcx2prov.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — przesy³anie strumieniowe multimediów (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — przesy³anie strumieniowe multimediów (ruch wychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — qWave (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — qWave (ruch wychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — RTSP (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\ehome\ehshell.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — sprawdzanie poprawnoœci urz¹dzeñ (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\ehome\mcrmgr.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — SSDP (ruch wychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — UPnP (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — us³ugi (ruch wychodz¹cy TCP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Urz¹dzenia Media Center Extender — WMDRM-ND/RTP/RTCP (ruch wychodz¹cy UDP)	Urz¹dzenia Media Center Extender	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\ehome\ehshell.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga iSCSI (ruch wychodz¹cy TCP)	Us³uga iSCSI	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga iSCSI (ruch wychodz¹cy TCP)	Us³uga iSCSI	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga mDNS (ruch wychodz¹cy UDP)	Us³uga mDNS	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	5353	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga mDNS (ruch wychodz¹cy UDP)	Us³uga mDNS	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5353	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga mDNS (ruch wychodz¹cy UDP)	Us³uga mDNS	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	5353	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows (ruch wychodz¹cy PNRP)	Us³uga rejestracji nazw komputerów w funkcji Wspó³praca w systemie Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	3540	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
