Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Odnajdowanie sieci (ruch przychodz¹cy SSDP)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy SSDP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy UPnP)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy UPnP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy UPnP)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\dashost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\dashost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\dashost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy zdarzeñ WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	5357	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy zdarzeñ WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	5357	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch przychodz¹cy zdarzeñ WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	5357	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci dla protoko³u Teredo (ruch przychodz¹cy SSDP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci dla protoko³u Teredo (ruch przychodz¹cy UPnP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci Wi-Fi Direct (ruch przychodz¹cy)	Odnajdowanie sieci Wi-Fi Direct	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\dashost.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	S-1-5-92-3339056971-1291069075-3798698925-2882100687-0	Dowolne	Brak	Dowolne	
U¿ycie buforu sieci Wi-Fi Direct (ruch przychodz¹cy)	Odnajdowanie sieci Wi-Fi Direct	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\spoolsv.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
U¿ycie us³ugi skanowania sieci Wi-Fi Direct (ruch przychodz¹cy)	Odnajdowanie sieci Wi-Fi Direct	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
OneNote	OneNote	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.office.onenote_8wekyb3d8bbwe	
Opera Internet Browser (mDNS-In)	Opera Internet Browser	Wszystko	Tak	Zezwalaj	Nie	C:\Program Files\Opera GX\opera.exe	Dowolne	Dowolne	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Opera Internet Browser (mDNS-In)	Opera Internet Browser	Wszystko	Tak	Zezwalaj	Nie	C:\Program Files\Opera GX\95.0.4635.88\opera.exe	Dowolne	Dowolne	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Optymalizacja dostarczania (ruch przychodz¹cy TCP)	Optymalizacja dostarczania	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	7680	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Optymalizacja dostarczania (ruch przychodz¹cy UDP)	Optymalizacja dostarczania	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	7680	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Platforma pod³¹czonych urz¹dzeñ — transport Wi-Fi Direct (ruch przychodz¹cy TCP)	Platforma pod³¹czonych urz¹dzeñ	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Platforma pod³¹czonych urz¹dzeñ (ruch przychodz¹cy TCP)	Platforma pod³¹czonych urz¹dzeñ	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Platforma pod³¹czonych urz¹dzeñ (ruch przychodz¹cy UDP)	Platforma pod³¹czonych urz¹dzeñ	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Poczta i Kalendarz	Poczta i Kalendarz	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windowscommunicationsapps_8wekyb3d8bbwe	
Podstawowe operacje sieciowe — anons odnajdowania s¹siadów (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — anons routera (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	fe80::/64	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — nieosi¹galne miejsce docelowe (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — nieosi¹galne miejsce docelowe, potrzebna fragmentacja (ruch przychodz¹cy ICMPv4)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — problem z parametrem (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — protokó³ DHCP (ruch przychodz¹cy DHCP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	68	67	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Protokó³ DHCP dla protoko³u IPv6 (ruch przychodz¹cy DHCPV6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	546	547	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — protokó³ IGMP (ruch przychodz¹cy IGMP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	IGMP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Protokó³ IPHTTPS (ruch przychodz¹cy TCP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	IPHTTPS	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — protokó³ IPv6 (ruch przychodz¹cy IPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	IPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — przekroczony limit czasu (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — raport odbiornika multiemisji (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — raport odbiornika multiemisji w wersji 2 (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Teredo (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — Teredo (ruch przychodz¹cy UDP)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Przechodzenie krawêdzi	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zakoñczenie dzia³ania odbiornika multiemisji (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zapytanie odbiornika multiemisji (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — zbyt du¿y pakiet (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — ¿¹danie odnajdowania s¹siadów (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Podstawowe operacje sieciowe — ¿¹danie routera (ruch przychodz¹cy ICMPv6)	Podstawowe operacje sieciowe	Wszystko	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy DCOM)	Pomoc zdalna	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy PNRP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Dowolne	UDP	3540	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy PNRP)	Pomoc zdalna	Publiczny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Dowolne	UDP	3540	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy SSDP TCP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy SSDP UDP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy TCP serwera Pomocy zdalnej)	Pomoc zdalna	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\raserver.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy TCP)	Pomoc zdalna	Domena, Prywatny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\msra.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pomoc zdalna (ruch przychodz¹cy TCP)	Pomoc zdalna	Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\msra.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Protokó³ SSTP (ruch przychodz¹cy SSTP)	Protokó³ SSTP	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	443	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Przegl¹darka sieci Web aplikacji klasycznych	Przegl¹darka sieci Web aplikacji klasycznych	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.win32webviewhost_cw5n1h2txyewy	
Pulpit zdalny — obserwowanie (ruch przychodz¹cy TCP)	Pulpit zdalny	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\RdpSa.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pulpit zdalny — tryb u¿ytkownika (ruch przychodz¹cy TCP)	Pulpit zdalny	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	3389	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pulpit zdalny — tryb u¿ytkownika (ruch przychodz¹cy UDP)	Pulpit zdalny	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	3389	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pulpit zdalny — (ruch przychodz¹cy TCP WSS)	Pulpit zdalny (WebSocket)	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	3392	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Pulpit zdalny (ruch przychodz¹cy TCP WS)	Pulpit zdalny (WebSocket)	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	3387	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Router AllJoyn (TCP-In)	Router AllJoyn	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	9955	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Router AllJoyn (UDP-In)	Router AllJoyn	Domena, Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Routing i dostêp zdalny (ruch przychodz¹cy GRE)	Routing i dostêp zdalny	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	GRE	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Routing i dostêp zdalny (ruch przychodz¹cy L2TP)	Routing i dostêp zdalny	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	1701	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Routing i dostêp zdalny (ruch przychodz¹cy PPTP)	Routing i dostêp zdalny	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	1723	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer protoko³u DIAL (dane wejœciowe protoko³u HTTP)	Serwer protoko³u DIAL	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	10247	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer protoko³u DIAL (dane wejœciowe protoko³u HTTP)	Serwer protoko³u DIAL	Domena	Tak	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	10247	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga SNMP Trap (ruch przychodz¹cy UDP)	SNMP Trap	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\snmptrap.exe	Dowolne	Podsieæ lokalna	UDP	162	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Us³uga SNMP Trap (ruch przychodz¹cy UDP)	SNMP Trap	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\snmptrap.exe	Dowolne	Dowolne	UDP	162	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Start	Start	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.startmenuexperiencehost_cw5n1h2txyewy	
Microsoft Edge (ruch przychodz¹cy mDNS)	Œrodowisko uruchomieniowe Microsoft Edge WebView2	Wszystko	Tak	Zablokuj	Nie	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\128.0.2739.79\msedgewebview2.exe	Dowolne	Dowolne	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Twoje konto	Twoje konto	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.cloudexperiencehost_cw5n1h2txyewy	
Udostêpnianie plików i drukarek (datagram NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	138	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (datagram NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	138	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (datagram NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	138	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (nazwa NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	137	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (nazwa NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	137	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (nazwa NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	137	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (ruch przychodz¹cy LLMNR-UDP)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5355	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (ruch przychodz¹cy LLMNR-UDP)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5355	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (ruch przychodz¹cy LLMNR-UDP)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5355	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (sesja NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	139	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (sesja NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	139	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (sesja NB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	139	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (SMB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (SMB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (SMB — ruch przychodz¹cy)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	TCP	445	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (us³uga buforu — RPC)	Udostêpnianie plików i drukarek	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\spoolsv.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (us³uga buforu — RPC)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\spoolsv.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (us³uga buforu — RPC)	Udostêpnianie plików i drukarek	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\spoolsv.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Udostêpnianie plików i drukarek (us³uga buforu — RPC-EPMAP)	Udostêpnianie plików i drukarek	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
